player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Bub Carrington,9578160.0,7257730.0,,,2,16835890.0,8417945.0,7257730.0,1
Thomas Sorber,9542760.0,5120400.0,7849573.0,,3,22512733.0,7504244.333333333,5120400.0,2
Kobe Bufkin,4503720.0,,,,1,4503720.0,4503720.0,,0
Jose Alvarado,4500000.0,,,,1,4500000.0,4500000.0,,0
Nikola Jović,4445417.0,,,,1,4445417.0,4445417.0,,0
Kel'el Ware,9098280.0,7135992.0,,,2,16234272.0,8117136.0,7135992.0,1
Yang Hansen,9065880.0,4864920.0,7462788.0,,3,21393588.0,7131196.0,4864920.0,2
Peyton Watson,4356476.0,,,,1,4356476.0,4356476.0,,0
Miles McBride,8289856.0,,,,1,8289856.0,8289856.0,,0
Keyonte George,10842885.0,,,,1,10842885.0,10842885.0,,0
Jared McCain,8643960.0,6784268.0,,,2,15428228.0,7714114.0,6784268.0,1
Joan Beringer,8612280.0,4621200.0,7098163.0,,3,20331643.0,6777214.333333333,4621200.0,2
Kevin Love,4150000.0,,,,1,4150000.0,4150000.0,,0
Dalton Knecht,8211240.0,6452860.0,,,2,14664100.0,7332050.0,6452860.0,1
Ryan Rollins,8000000.0,4000000.0,,,2,12000000.0,6000000.0,4000000.0,1
Dwight Powell,4000000.0,,,,1,4000000.0,4000000.0,,0
Walter Clayton,8181840.0,4390320.0,6752312.0,,3,19324472.0,6441490.666666667,4390320.0,2
Jaime Jaquez Jr.,9800741.0,,,,1,9800741.0,9800741.0,,0
Nolan Traoré,7813560.0,4193040.0,6457282.0,,3,18463882.0,6154627.333333333,4193040.0,2
Tristan Da Silva,7800720.0,6138466.0,,,2,13939186.0,6969593.0,6138466.0,1
Gary Trent Jr.,3697105.0,,,,1,3697105.0,3697105.0,,0
Brandin Podziemski,9367419.0,,,,1,9367419.0,9367419.0,,0
Svi Mykhailiuk,,4025000.0,,,1,4025000.0,4025000.0,4025000.0,0
Kasparas Jakucionis,7500480.0,4024440.0,6205687.0,,3,17730607.0,5910202.333333333,4024440.0,2
Ja'Kobe Walter,7449960.0,5870172.0,,,2,13320132.0,6660066.0,5870172.0,1
Gary Harris,3634153.0,,,,1,3634153.0,3634153.0,,0
Cam Whitmore,8998070.0,,,,1,8998070.0,8998070.0,,0
Will Riley,7200840.0,3864000.0,6155352.0,,3,17220192.0,5740064.0,3864000.0,2
Jaylon Tyson,7151040.0,5641500.0,,,2,12792540.0,6396270.0,5641500.0,1
Jaxson Hayes,3449323.0,,,,1,3449323.0,3449323.0,,0
Noah Clowney,8812674.0,,,,1,8812674.0,8812674.0,,0
Drake Powell,6912840.0,3709320.0,6101832.0,,3,16723992.0,5574664.0,3709320.0,2
Yves Missi,6865800.0,5595827.0,,,2,12461627.0,6230813.5,5595827.0,1
Taurean Prince,3303774.0,,,,1,3303774.0,3303774.0,,0
Dariq Whitehead,3262560.0,,,,1,3262560.0,3262560.0,,0
Asa Newell,6636960.0,3560880.0,6042814.0,,3,16240654.0,5413551.333333333,3560880.0,2
DaRon Holmes,6590880.0,5547138.0,,,2,12138018.0,6069009.0,5547138.0,1
Kris Murray,8447004.0,,,,1,8447004.0,8447004.0,,0
Nique Clifford,6371520.0,3418800.0,5979481.0,,3,15769801.0,5256600.333333333,3418800.0,2
Nassir Little,12428572.0,3107143.0,3107143.0,,3,18642858.0,6214286.0,3107143.0,2
AJ Johnson,6327600.0,5493394.0,,,2,11820994.0,5910497.0,5493394.0,1
De'Anthony Melton,3080921.0,,,,1,3080921.0,3080921.0,,0
Shake Milton,6287406.0,,,,1,6287406.0,6287406.0,,0
Kyle Filipowski,3000000.0,3000000.0,,,2,6000000.0,3000000.0,3000000.0,1
Ajay Mitchell,3000000.0,2850000.0,,,2,5850000.0,2925000.0,2850000.0,1
Julian Champagnie,,3000000.0,,,1,3000000.0,3000000.0,3000000.0,0
Jase Richardson,6115680.0,3282000.0,5910882.0,,3,15308562.0,5102854.0,3282000.0,2
Kyshawn George,6074760.0,5435892.0,,,2,11510652.0,5755326.0,5435892.0,1
Tony Bradley,2940876.0,,,,1,2940876.0,2940876.0,,0
Marcus Sasser,8085703.0,,,,1,8085703.0,8085703.0,,0
Ben Saraf,5913120.0,3172920.0,5720776.0,,3,14806816.0,4935605.333333333,3172920.0,2
Pacome Dadiet,5831280.0,5373608.0,,,2,11204888.0,5602444.0,5373608.0,1
Danny Wolf,5742720.0,3081840.0,5559640.0,,3,14384200.0,4794733.333333333,3081840.0,2
Ben Sheppard,7822389.0,,,,1,7822389.0,7822389.0,,0
Hugo González,5707440.0,3062640.0,5528065.0,,3,14298145.0,4766048.333333333,3062640.0,2
Liam McNeeley,5666040.0,3040320.0,5487778.0,,3,14194138.0,4731379.333333333,3040320.0,2
Dillon Jones,2753280.0,,,,1,2753280.0,2753280.0,,0
Yanic Konan Niederhauser,5624760.0,3018480.0,5448356.0,,3,14091596.0,4697198.666666667,3018480.0,2
Nick Smith Jr.,2710680.0,,,,1,2710680.0,2710680.0,,0
Brice Sensabaugh,7555997.0,,,,1,7555997.0,7555997.0,,0
Julian Strawther,7501131.0,,,,1,7501131.0,7501131.0,,0
Terrence Shannon Jr.,5475720.0,5054159.0,,,2,10529879.0,5264939.5,5054159.0,1
Ryan Dunn,5442000.0,5025553.0,,,2,10467553.0,5233776.5,5025553.0,1
Kobe Brown,2654880.0,,,,1,2654880.0,2654880.0,,0
Isaiah Collier,5402160.0,4988948.0,,,2,10391108.0,5195554.0,4988948.0,1
