nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1629028,Deandre Ayton,2026,LAL,C,27.198,-0.325,-0.986,0.66,2.619,Roll + Cut Big,Mobile Big
1629029,Luka Doncic,2026,LAL,PG,35.757,5.176,5.622,-0.446,10.733,Shot Creator,Helper
1629048,Goga Bitadze,2026,ORL,C,15.186,2.229,0.417,1.812,2.85,Roll + Cut Big,Mobile Big
1629057,Robert Williams Iii,2026,POR,C,17.086,1.861,-0.439,2.299,2.727,Roll + Cut Big,Anchor Big
1629060,Rui Hachimura,2026,LAL,PF,28.33,-2.237,-0.814,-1.423,0.281,Shot Creator,Helper
1629111,Jock Landale,2026,MEM/ATL,C,22.145,0.04,0.471,-0.431,2.36,Stretch Big,Mobile Big
1629130,Duncan Robinson,2026,DET,SF,27.438,1.096,1.241,-0.145,4.708,Off Screen Shooter,Low Activity
1629162,Jordan Mclaughlin,2026,SAS,PG,6.4,-1.652,-1.61,-0.042,0.143,Secondary Ball Handler,Point of Attack
1629216,Gabe Vincent,2026,LAL/ATL,PG,16.585,-2.914,-1.36,-1.554,-0.237,Movement Shooter,Point of Attack
1629234,Drew Eubanks,2026,SAC,C,13.148,-1.264,-2.175,0.912,0.414,Roll + Cut Big,Mobile Big
1629312,Haywood Highsmith,2026,PHO,SF,12.964,-0.437,-0.193,-0.243,0.115,Low Minute,Point of Attack
1629599,Amir Coffey,2026,MIL/PHO,SG,10.662,-2.146,-1.805,-0.341,0.099,Stationary Shooter,Helper
1629610,Daquan Jeffries,2026,SAC,SG,19.967,-0.478,-0.318,-0.16,0.074,Low Minute,Chaser
1629611,Terance Mann,2026,BRK,SG,24.269,-2.437,-1.733,-0.704,0.035,Primary Ball Handler,Point of Attack
1629614,Andrew Nembhard,2026,IND,PG,31.323,0.232,1.059,-0.827,3.012,Primary Ball Handler,Point of Attack
1629618,Jalen Pickett,2026,DEN,SG,16.129,-2.886,-1.512,-1.374,-0.203,Secondary Ball Handler,Chaser
1629622,Max Strus,2026,CLE,SF,24.024,-0.409,0.15,-0.559,0.37,Movement Shooter,Wing Stopper
1629627,Zion Williamson,2026,NOP,PF,29.693,0.439,1.746,-1.307,3.346,Shot Creator,Helper
1629628,Rj Barrett,2026,TOR,SF,30.275,1.195,1.229,-0.034,3.953,Movement Shooter,Helper
1629630,Ja Morant,2026,MEM,PG,28.423,1.478,1.706,-0.228,1.402,Shot Creator,Chaser
1629631,De'Andre Hunter,2026,CLE/SAC,SF,26.121,-0.754,-0.159,-0.595,1.256,Movement Shooter,Wing Stopper
1629632,Coby White,2026,CHI/CHO,SG,24.993,-0.163,1.645,-1.808,1.799,Shot Creator,Chaser
1629634,Brandon Clarke,2026,MEM,PF,10.217,-0.806,-0.555,-0.251,0.021,Low Minute,Mobile Big
1629636,Darius Garland,2026,CLE/LAC,PG,29.87,0.399,1.926,-1.527,2.409,Shot Creator,Chaser
1629637,Jaxson Hayes,2026,LAL,C,18.28,0.348,-0.042,0.39,2.123,Roll + Cut Big,Mobile Big
1629638,Nickeil Alexander-Walker,2026,ATL,SG,33.373,0.219,0.582,-0.362,4.371,Primary Ball Handler,Point of Attack
1629639,Tyler Herro,2026,MIA,SG,31.289,-0.468,0.664,-1.133,1.288,Shot Creator,Chaser
1629640,Keldon Johnson,2026,SAS,SF,23.309,0.471,1.14,-0.67,3.511,Movement Shooter,Helper
1629645,Kevin Porter Jr.,2026,MIL,PG,33.183,1.251,0.975,0.276,2.933,Shot Creator,Point of Attack
1629646,Charles Bassey,2026,MEM/PHI/BOS/GSW,C,11.746,-0.751,-0.321,-0.429,0.164,Post Scorer,Mobile Big
1629651,Nic Claxton,2026,BRK,C,27.831,-1.35,-0.915,-0.434,1.337,Roll + Cut Big,Mobile Big
1629652,Luguentz Dort,2026,OKC,SF,26.791,-0.815,-1.171,0.356,1.904,Stationary Shooter,Point of Attack
1629655,Daniel Gafford,2026,DAL,C,21.714,0.836,-0.871,1.706,2.467,Roll + Cut Big,Mobile Big
1629656,Quentin Grimes,2026,PHI,SG,29.408,-1.532,-0.421,-1.111,1.286,Movement Shooter,Chaser
1629660,Ty Jerome,2026,MEM,SG,22.578,3.047,4.326,-1.279,1.163,Shot Creator,Helper
1629661,Cameron Johnson,2026,DEN,SF,30.498,0.574,0.806,-0.231,3.133,Movement Shooter,Helper
1629673,Jordan Poole,2026,NOP,PG,23.927,-1.692,0.882,-2.574,0.451,Primary Ball Handler,Low Activity
1629674,Neemias Queta,2026,BOS,C,25.341,3.696,0.972,2.723,7.365,Roll + Cut Big,Anchor Big
1629675,Naz Reid,2026,MIN,C,26.067,1.086,-0.011,1.096,4.46,Movement Shooter,Helper
1629680,Matisse Thybulle,2026,POR,SG,15.987,0.783,-1.768,2.551,0.975,Movement Shooter,Chaser
1629684,Grant Williams,2026,CHO,PF,19.761,-0.117,-0.679,0.562,1.045,Movement Shooter,Wing Stopper
1629723,John Konchar,2026,MEM/UTA,SG,19.903,-0.096,-1.356,1.26,1.651,Stationary Shooter,Helper
1629726,Garrison Mathews,2026,IND,SG,13.069,-1.036,-1.2,0.164,0.175,Off Screen Shooter,Chaser
1629731,Dean Wade,2026,CLE,PF,22.33,0.63,-0.287,0.917,2.552,Movement Shooter,Wing Stopper
1629750,Javonte Green,2026,DET,SG,17.63,0.663,-1.217,1.879,2.83,Stationary Shooter,Helper
1630162,Anthony Edwards,2026,MIN,SG,35.025,1.285,2.623,-1.337,5.014,Shot Creator,Chaser
1630163,Lamelo Ball,2026,CHO,PG,28.016,2.775,3.285,-0.511,6.591,Primary Ball Handler,Low Activity
1630164,James Wiseman,2026,IND,C,14.612,-1.13,-1.008,-0.123,0.049,Low Minute,Mobile Big
1630165,Killian Hayes,2026,SAC,PG,17.63,-0.205,-0.669,0.464,0.573,Primary Ball Handler,Point of Attack
1630166,Deni Avdija,2026,POR,SF,33.32,1.704,2.207,-0.504,5.734,Shot Creator,Helper
1630167,Obi Toppin,2026,IND,PF,17.654,0.821,1.806,-0.985,0.871,Movement Shooter,Helper
1630168,Onyeka Okongwu,2026,ATL,C,31.038,0.853,-0.858,1.711,4.77,Stationary Shooter,Mobile Big
1630170,Devin Vassell,2026,SAS,SG,30.51,-0.084,0.769,-0.853,3.044,Movement Shooter,Helper
1630171,Isaac Okoro,2026,CHI,SG,26.9,-2.212,-1.184,-1.027,0.273,Stationary Shooter,Wing Stopper
1630172,Patrick Williams,2026,CHI,PF,20.467,-2.714,-2.223,-0.491,-0.216,Stationary Shooter,Wing Stopper
1630173,Precious Achiuwa,2026,SAC,C,23.905,-0.112,-0.7,0.589,2.568,Athletic Finisher,Wing Stopper
1630174,Aaron Nesmith,2026,IND,SF,29.663,-0.915,-0.061,-0.854,1.292,Off Screen Shooter,Wing Stopper
1630175,Cole Anthony,2026,MIL,PG,15.046,-2.157,-1.713,-0.444,0.103,Primary Ball Handler,Point of Attack
1630178,Tyrese Maxey,2026,PHI,PG,38.013,2.933,3.584,-0.651,8.951,Shot Creator,Chaser
1630180,Saddiq Bey,2026,NOP,SF,31.187,-0.202,1.569,-1.771,3.177,Shot Creator,Helper
1630182,Josh Green,2026,CHO,SG,15.649,-1.049,-1.288,0.239,0.802,Stationary Shooter,Point of Attack
1630183,Jaden Mcdaniels,2026,MIN,PF,31.729,-1.154,-1.387,0.233,1.896,Athletic Finisher,Point of Attack
1630188,Jalen Smith,2026,CHI,C,20.666,1.296,0.212,1.084,2.578,Stretch Big,Mobile Big
1630191,Isaiah Stewart,2026,DET,C,22.707,-0.527,-0.879,0.352,1.595,Stretch Big,Mobile Big
1630192,Zeke Nnaji,2026,DEN,PF,12.036,-2.761,-2.635,-0.127,-0.11,Stretch Big,Helper
1630193,Immanuel Quickley,2026,TOR,PG,31.873,2.276,1.969,0.307,6.608,Primary Ball Handler,Point of Attack
1630194,Paul Reed,2026,DET,C,13.854,2.024,0.076,1.948,2.527,Roll + Cut Big,Mobile Big
1630198,Isaiah Joe,2026,OKC,SG,21.228,0.93,0.947,-0.017,3.202,Movement Shooter,Low Activity
1630200,Tre Jones,2026,CHI,PG,26.958,1.229,1.41,-0.181,4.051,Slasher,Point of Attack
1630202,Payton Pritchard,2026,BOS,PG,32.346,1.921,2.54,-0.618,7.008,Primary Ball Handler,Chaser
1630208,Nick Richards,2026,PHO/CHI,C,14.597,-1.693,-1.752,0.06,0.338,Roll + Cut Big,Mobile Big
1630209,Omer Yurtseven,2026,GSW,C,11.548,-1.115,-0.905,-0.21,0.088,Roll + Cut Big,Mobile Big
1630214,Xavier Tillman,2026,BOS/CHO,C,6.128,-1.274,-1.17,-0.104,0.137,Stretch Big,Mobile Big
1630217,Desmond Bane,2026,ORL,SG,33.608,1.688,1.316,0.373,7.16,Primary Ball Handler,Chaser
1630224,Jalen Green,2026,PHO,SG,25.881,-0.448,0.761,-1.209,1.044,Shot Creator,Chaser
1630228,Jonathan Kuminga,2026,GSW/ATL,PF,23.068,-0.38,-0.566,0.186,1.082,Shot Creator,Helper
1630230,Naji Marshall,2026,DAL,SF,29.507,-1.088,-0.135,-0.953,1.876,Secondary Ball Handler,Wing Stopper
1630241,Sam Merrill,2026,CLE,SG,26.48,1.289,1.567,-0.278,3.235,Movement Shooter,Chaser
1630245,Ayo Dosunmu,2026,CHI/MIN,SG,27.26,-1.198,-0.109,-1.089,1.487,Primary Ball Handler,Point of Attack
1630249,Vit Krejci,2026,ATL/POR,PG,21.414,-1.356,-1.313,-0.044,0.963,Movement Shooter,Chaser
